product,type,subtype1,subtype2,measurement_unit,price_per_unit,bulk_density,price_per_ton,pickup_address,supplier_address,,,,,,,,,,,,,,,,,
ПГС,,,0-50,куб,400,,,Полигон Урочище,"60.397501, 29.920221",,,,,,,,,,,,,,,,,
Гравий,,,5-20,куб,1000,,,Полигон Урочище,"60.397501, 29.920221",,,,,,,,,,,,,,,,,
Гравий,,,20-40,куб,800,,,Полигон Урочище,"60.397501, 29.920221",,,,,,,,,,,,,,,,,
Гравий,,,40-70,куб,800,,,Полигон Урочище,"60.397501, 29.920221",,,,,,,,,,,,,,,,,
Гравий,,,40-100,куб,0,,,Полигон Урочище,"60.397501, 29.920221",,,,,,,,,,,,,,,,,
Грунт,плодородный,,,куб,400,,,Полигон Урочище,"60.397501, 29.920221",,,,,,,,,,,,,,,,,
Грунт,плодородный,просеяный,,куб,700,,,Полигон Урочище,"60.397501, 29.920221",,,,,,,,,,,,,,,,,
Отсев,Гравийный,,"0,5-5,0",куб,350,,,Полигон Урочище,"60.397501, 29.920221",,,,,,,,,,,,,,,,,
Валун,,,,куб,,,"5000,00",Полигон Урочище,"60.397501, 29.920221",,,,,,,,,,,,,,,,,
Песок,карьерный,,"1,2-1,5",куб,350,,,Горное Елохово,"60.278594, 32.682974",,,,,,,,,,,,,,,,,
Песок,намывной,,,куб,0,,,Горное Елохово,"60.278594, 32.682974",,,,,,,,,,,,,,,,,
Песок,карьерный,,,куб,750,,,Горы Захожье,"59.727911, 30.877977",,,,,,,,,,,,,,,,,
Песок,намывной,мелкий,,куб,540,,,Вуолы-ЭКО,"60.366025, 30.552011",,,,,,,,,,,,,,,,,
Песок,карьерный,мелкий,"1-1,5",куб,200,,,Вуолы-ЭКО,"60.366025, 30.552011",,,,,,,,,,,,,,,,,
Песок,сеяный,средний,"2-2,5",куб,480,,,Вуолы-ЭКО,"60.366025, 30.552011",,,,,,,,,,,,,,,,,
Отсев,гранитный,,0-4,куб,210,"1,4","150,00",Ильмениоки,"61.188730, 29.720224",,,,,,,,,,,,,,,,,
Отсев,гранитный,,0-5,куб,210,"1,4","150,00",Ильмениоки,"61.188730, 29.720224",,,,,,,,,,,,,,,,,
Щебень,гранитный,,5-10,куб,2103,"1,45","1450,00",Ильмениоки,"61.188730, 29.720224",,,,,,,,,,,,,,,,,
Щебень,гранитный,,5-20,куб,1656,"1,38","1200,00",Ильмениоки,"61.188730, 29.720224",,,,,,,,,,,,,,,,,
Щебень,гранитный,,10-20,куб,2074,"1,43","1450,00",Ильмениоки,"61.188730, 29.720224",,,,,,,,,,,,,,,,,
Щебень,гранитный,,20-40,куб,1012,"1,35","750,00",Ильмениоки,"61.188730, 29.720224",,,,,,,,,,,,,,,,,
Щебень,гранитный,,40-70,куб,945,"1,35","700,00",Ильмениоки,"61.188730, 29.720224",,,,,,,,,,,,,,,,,
Щебень,гранитный,,4-8,куб,2103,"1,45","1450,00",Ильмениоки,"61.188730, 29.720224",,,,,,,,,,,,,,,,,
Щебень,гранитный,,"8-11,2",куб,2074,"1,43","1450,00",Ильмениоки,"61.188730, 29.720224",,,,,,,,,,,,,,,,,
Щебень,гранитный,,"11,2-16",куб,2074,"1,43","1450,00",Ильмениоки,"61.188730, 29.720224",,,,,,,,,,,,,,,,,
Щебень,гранитный,,"16-22,4",куб,1987,"1,37","1450,00",Ильмениоки,"61.188730, 29.720224",,,,,,,,,,,,,,,,,
Щебень,гранитный,,"22,4-31,5",куб,1012,"1,35","750,00",Ильмениоки,"61.188730, 29.720224",,,,,,,,,,,,,,,,,
ЩПС,,,0-40,куб,756,"1,68","450,00",Ильмениоки,"61.188730, 29.720224",,,,,,,,,,,,,,,,,
ЩПС,,,0-80,куб,756,"1,68","450,00",Ильмениоки,"61.188730, 29.720224",,,,,,,,,,,,,,,,,
